,data_index,cluster
287,셉템버 몬,4
288,소노라,6
289,좀비,9
290,다이키리,2
291,차이니스 이치,9
292,톰&제리,5
293,드래곤 레이디,9
294,트로피컬 이치,9
295,트로피컬 미모사,4
296,트로픽 오브 카프리콘,9
297,트와이라이트 존,4
298,니커보커 스페셜,6
299,네이키드 레이디,6
300,네바다,2
301,파인애플 피즈,4
302,바카르디아노,4
303,바카르디,6
304,허니 서클,9
305,하바나 비치,2
306,바하마,7
307,바히아,8
308,바라쿠다,4
309,비너스,9
310,피냐 콜라다,2
311,프티트 플루어르,6
312,플래티넘 블론드,8
313,블랙 로즈,5
314,플랜터스 칵테일,4
315,플랜터스 펀치,6
316,블루 하와이,2
317,블루 하와이안,8
318,프로즌 다이키리,2
319,프로즌 파인애플 다이키리,9
320,프로즌 바나나 다이키리,8
321,프로즌 민트 다이키리,5
322,폴라 쇼트 컷,1
323,보스턴 쿨러,2
324,핫 에그노그,5
325,하 버터드 럼,5
326,마이 마미,1
327,마이애미,2
328,마이타이,6
329,마우이 피즈,9
330,마야,9
331,밀리오네어,4
332,뭄바,9
333,무카로,8
334,메리 피크포드,9
335,모히토,2
336,럼 오렌지,9
337,럼 쿨러,2
338,럼 콜린스,2
339,럼 사워,2
340,럼 쥴럽,5
341,럼 듀보네,4
342,럼 피즈,2
343,럼 플로트,5
344,리콜리아노,4
345,리틀 프린세스,7
346,로열 코코 펀치,8
347,와라탐,1
348,애틀랜틱 코냑,4
349,애프터눈,1
350,아메리칸 뷰티,4
351,아라고,7
352,알렉산더,8
353,암브로시아,6
354,예스 앤드 노,3
355,이스트 인디아 No 1,6
356,이스트 인디아,6
357,인터내셔널,6
358,위프 노모어,6
359,위치 웨이,1
360,윌리 스미스,6
361,에스키모,8
362,애피큐리안,1
363,오드 매킨타이어,9
364,엘리스,1
365,올림픽,6
366,카카투즈,6
367,가제트,6
368,칼리메로,6
369,카르나발,6
370,키스 프롬 헤븐,1
371,캐롤,1
372,퀸 엘리자베스,9
373,퀵클리,1
374,퀘이커스,6
375,클래식,6
376,그린 룸,3
377,크리스,4
378,케르비,1
